id	mydate	author	posts	text
1028	2021-06-01	borskungen	#12147	Det behövs inget vaccin. Det räcker med Ivermectin, D-vitamin, C-vitamin och zink.
1029	2021-11-05	Lost.Villain	#4294	Det är ytterst få som får allvarlig biverkning av vaccinen. Men fler som får det av Covid.
1030	2021-02-23	Franke88	#798	Ca tusen döda från vaccin hittils i USA.
1031	2021-01-01	jori9900	#2070	Klart du kan smittas trots att du är bara att ditt immunförsvar är bättre (förhoppningsvis) och sjukdomen bryter inte ut och du tar vaccin kan du bli smittat oxå... varför tror du att du inte kan det? . För min del får dom sätta vilka restriktioner som hellst men jag kommer aldrig ta något vaccin, har aldrig gjort det förut och kommer inte att göra det i framtiden heller.. om jag inte får resa, jobba eller så får väl samhället försörja mej, så what.. Det är ett vaccin dom har stressat fram som är helt oprövat.. biverkning kan vara farligare än coronan Nu försöker dom hetsa folk att ta skiten. Sen försöker dom väl tvinga folk men fundera på varför... om vaccin nu är så jävla bra.. då räcker det väl att ta det så är man säker från att sjukdomen bryter ut. Varför måste alla ta den? Jag litar på mitt immunförsvar, det har fungerat bra hittills.... Det finns info om kraftig biverkning som media mf vägrar att skriva om. En person har ju redan dött av det i sverige. Jag är säker på att många som tar vaccin kommer att få ångra sej (unifär som med svininfluensa vaccinet) och då är det försent
1032	2021-10-03	Frispel2	#1969	Det är väntat eftersom mensrubbningar inträffar naturligt hela tiden? Just det är liksom inget som dykt upp först nu. Vaccinerar du tillräckligt många så kommer en hel drös personer få problem inom närtid till vaccination utan att vaccin är inblandat. Med två doser så kommer ca 1/26 av alla naturligt förekommande fall inträffa inom en vecka efter någon av doser . Så frågan är fortfarande om det är vanligare än så? 1/26 lär vara en hel drös med kvinnor som får mensrubbningar utan att vaccin är inblandat. Ökar du tiden till två veckor efter respektive dos så är man ner på 1/13 av alla naturligt förekommande sjukdomar mm. Angående studier så är det inte speciellt troligt att man upptäckt den typen av biverkning ens om man ökat tiden en gjort dom större. De biverkning som upptäckts efter att man börjat massvaccinera är så pass ovanliga att dom lätt glider igenom en studie som bara består av 40 000 personer (där hälften då får vaccin och hälften får placebo).
1033	2021-03-11	Drozd	#6738	Fast om du är i riskgruppen bör du nog snarare ta vaccin snarast möjligt. En sak är helt odiskutabel - vaccin (oavsett märke) är väldigt mycket mindre farligt än att få covid-infektionen. Vi snackar nog om hundrafallt eller tusenfallt gånger högre risk att dö av sjukdomen än av vaccinet.
1034	2021-12-15	Zunar	#775	Det har säkert nämnts tidigare i tråden men många är givetvis biased, dvs. man har tidigt svalt paniken och den erbjudna lösningen med hull och hår och är nu duktigt medvetna om att man är lurad till max. Då tar man ut sin frustration på de som inte har gått samma väg som en själv. Detta fenomen kommer nog tyvärr bli allt tydligare framöver.
1035	2021-07-27	storm72	#838	Medan Covid skenar i Thalinad PG inget vaccin. Landet som hade allt under kontroll fram till nu när Deltavarianten kom. Källor: URL URL
1036	2021-09-12	Whyback	#3176	Stackas rädda och förvirrade, den är i högsta grad begränsat farlig på individnivå ( gamla och svaga och de med bristfälligt imunförsvar), och knappt mer än en vanlig säsongsinfluensa på gruppnivå!
1037	2021-09-12	korrektamund0	#7104	Om du vill vaccinera dig eller inte väljer du själv, men det är drygt gånger större risk att du drabbas av allvarlig COVID-19 om du inte vaccinerar dig.
1038	2021-09-13	fittslem	#7371	All statistik talar emot dig, bara åk till närmsta sjukhus och kolla vilka som ligger på IVA, klar majoritet är folk som valt att inte ta vaccinet. Vi andra får sedan sitta och betala kalaset. Case closed.
1039	2021-05-29	Clas.Ohlsson.453	#2772	dra åt helvete med dig din hjärntvättade kulturmarxist. Ingen tvångsvaccinering ska ske. Man kan vara med i samhället ändå! Eller tänkte du att 20-25% av samhället ska stängas utanför. Jag har rätt att bestämma över min egna kropp. Hoppas du får allvarlig biverkningar. Folk som du borde inte få utrymme i offentligheten
1040	2021-06-02	Kommer-vara-anon	#3661	Så många platser är det inte. Tyvärr kan det ju vara så att fler är att vänta, då mutationer verkar ha kommit igång nu. Så ja, om man genomför vaccinationen på fel sätt, vilket vi verkar vara på väg att göra, så kan du ha helt rätt. Vilket var det jag sa, att det finns flera felkällor till mitt påstående. Genomför man dock en global vaccination, på relativt kort tag, så borde vaccinationen få avsedd effekt, enligt datan som vi har just nu.
1041	2021-08-18	Porky123	#1854	Har inte tagit någon spruta och varit / är helt frisk under hela tiden
1042	2021-08-02	Love.Thy.Neighbors	#1188	Jag tror att du kämpar lite i motvind.
1043	2021-08-12	Intensivtklok	#5471	Ja. Medelåldern säger ingenting om hur länge varje individ skulle ha levt utan infektion med coronaviruset.
1044	2021-09-05	nidhoogen	#1231	Ja det låter helt naturligt. Ta en dubbeldos vettja.
1045	2021-12-02	OliverCromwell	#10672	Detta börjar bli helt sjukt på riktigt! Jag känner inte en enda person som dött av Covid-19! Endast en som haft det och som var riktigt svår sjuk i veckor. That´s it! Alla andra var asymptomatiska fall där de inte kände av någonting. När det gäller vaccin känner jag till ett 50-tal personer vars hälsoproblem kan härledas till vaccinet. I många fall är vaccin en DIREKT ORSAK! Nu senast igår då farsans flickvän fick ett hårt tryck på bröstet direkt efter vaccineringen. Senare under dagen hade hon svårt att andas. På morgonen fick farsan rusa iväg med henne till sjukhuset! Nu ligger hon där med en svår hjärtinflammation!!! Jag fattar inte hur dessa sjuksköterskor som vaccinerar folk kan se sig själva i spegeln! De borde fan skämmas ty de bär ett enormt jävla ansvar! Man undrar verkligen hur de sover om nätter . Om de ens kan det. Eller de kanske inte ens har något jävla samvete längre. Och så regeringen, FHM, MSM och alla andra vaccinhetsande jävla olyckliga psykopater som vill tvinga folk att ta denna giftsprutan även mot deras vilja. Vilka totala jävla avskum!
1046	2021-09-04	vittne-x	#1536	Man hänger alltså ut avlidna på nätet som varit anti-vaxare, i någon sjuk skadeglädje. Frågan om hur många som dött trots vaccin lyser dock med sin frånvaro, man kan väl gissa att denna site har spons från någon intressent, verkar finnas en läkarpraktik på reg-adressen, lär bli intressant ur stämnings-synpunkt... Här är en som fått dubbla vaccin-doser och nu ligger på IVA, dessutom en stor kändis: URL
1047	2021-12-15	Lamron	#1617	Dom som inte vaccinerar sig är samma typ av personer som hade suttit stilla och inte gjort ett skit om ett krig hade brytit ut. Ni hade suttit där och sagt nä jag tänker inte kämpa för jag tror inte på krig.
1048	2021-11-13	hypokonrad	#207	Dag efter Pfizer, noll biverkning förutom trötthet och lite muskelryckningar. Smärtan i armen har nästan lagt sig också.
1049	2021-05-10	Coquille	#626	Ingen kan bevisa långtidseffekter av vaccin eftersom vaccineringen bara pågått i ett par månader. Däremot ser vi att det finns studier (t ex artikeln jag länkade till) som visar att vaccin är effektivt mot att smittas och bli allvarligt sjuk i Covid-19. Samtidigt vet vi också att väldigt många drabbas av långvariga besvär efter att ha smittats av virus (minst i Sverige hittils enligt artikel i Svd). Då känns det mycket tryggare att ta vaccin än att riskera långtidscovid.
1050	2021-10-12	Manginaz	#999	Du jag googlade, nödgodkänt vaccin covid och tror detta var tredje länken URL Ditt intellekt motsvarar en hårboll en katt har spytt upp, på en fin matta.
1051	2021-05-04	rtyuio	#3995	Bara tvärvägra och stå för ditt val. Det här kommer aldrig ta slut om idioter väl börjar. Snart kommer väl VARNINGSTEXTER i mobilen, dator etc poppa upp. Ny mutation ute nu. Vänligen uppgradera ditt vaccin till version 7.12 om du vill fortsätta vara samhällsmedborgare. Annars riskerar du uteslutning. Gud gav dig ett naturligt immunförsvar. Givet att extremt dödliga smittor som ebola etc ska man nog inte leka tuff med, men tycker det här som sker i samhället nu är sjukt överdrivet för ett virus 99.9% överlever.
1052	2021-11-09	DistortedTruth	#194	 När en person insjuknade efter sin vaccination mot covid 19 sökte denna vård på akuten i Trollhättan. Men personen, som inte bedömdes vara allvarligt sjuk, skickades hem. I själva verket var symtomen bara början på en ovanligt snabb och dödlig koagulationsrubbning, rapportera nyhetsbyrån Siren. När patienten återkom till akuten, kraftigt försämrad, var det försent. Enligt en lex Maria-anmälan avled personen kort därefter. URL
1053	2021-03-20	Mr.	#657	Tyvärr är rädslan större för människor som dig än viruset. Du skulle säkert utan problem sälja ut din egen familj. Har du någon form av eget tänkande mellan dina tinningar eller är det dela hjärnan i gruppen som gäller? Sen bygger jag mina ställningstagande på samtal jag har, och vad personer runt mig vittnar om och det stämmer dåligt med det du tycker var bra skrivet. Dvs ställningstagandet för vaccin är risk för biverkning eller IVA-vård . Utan det är faktiskt risk för biverkning vid vaccinering och risker på lång sikt vi ej vet mot i allra flesta fall symtom som en vanlig förkylning. Därför tycker jag vaccinering av riskgrupper bör fortgå, likt influensa och övriga får själv välja. Sen finns det idag mediciner och vitaminer som bevisligen fungerar mot covid, kanske kunde sjukvården börja där. Att du tror du är häftig för att du kallar mig antivaccare visar vilken enorm insikt du besitter....
1054	2021-07-30	natione-suecos	#728	Gött att se i tråden att det finns fler kritisk röst än vaccinivrare. Att folk börjar vakna.
1055	2021-10-20	korrektamund0	#3243	Jag har redan tidigare redogjort för vilka internationella regler och stadgar som styr kliniska försök på människor. Nürnbergkonventionen handlar om något helt annat (experimenterande på människor utan dess medgivande). HÄR är de styrande regler och konventioner som reglerar kliniska försök som inbegriper människor: URL URL URL
1056	2021-09-08	DroidBishop	#1865	Det är fascinerande att man kan vara så otroligt dålig påläst att man, som du, tror att det här vaccin är precis som alla andra vaccin tidigare. Samtidigt raljerar ni mot oss som faktiskt har läst på och tagit ett personligt beslut baserat på data och statistik. Den relativa riskreduceringen är hög men den absoluta riskreduceringen är mer eller mindre noll. Dvs den individuella patientnyttan för personer under är obefintlig. Det kan du räkna ut själv med offentlig data från t.ex England som är duktiga på att föra sådan statistik. Så för mig som frisk åring, finns ingen anledning att ta sprutan. Och nej, vaccin hindrar inte smittspridning. Men det är klart, det är ju jobbigt för er bräkande får att ta reda på något, det kan ju faktiskt visa sig att ni har fel och då blir det ju jobbigt. Bättre att göra som flocken och mobba dom som inte gör som ni. Narcissismen och ignoransen står sådana som du för.
1057	2021-06-16	Tobbex73	#5460	Ju mer jag letar, ju mer verkar Robert Malone vara fejk. Den som erkänt forskat mest och först inom mRNA är Katalin Karikó.
1058	2021-12-04	northrunner	#1149	Det har diskuterats tidigare i tråden. Det gäller bara de celler som producerar spikprotein dvs celler som antingen blivit infekterade av covid virus eller tagit upp mRNA vaccin. I fallet mRNA vaccin så är det bara en begränsad mängd som tar upp vaccin och dom producerar spikprotein under maximalt ungefär ett dygn. Om det istället rörlig om covid virus kan det röra sig om betydligt fler spiprotien producerande celler under längre tid. För att påverkan av immunförsvaret ska kunna ske måste det var B-cells producerande celler i benmärgen som tar upp virus eller mRNA vaccin. Det är troligare att covidvirus når dessa celler. Alla de celler som börjar producera spikproteiner är dödsdömda. Så fort immunförsvaret utvecklat antikroppar kommer dessa celler tas bort. Därefter kan det ej finnas någon kvarvarande effekt.
1059	2021-06-06	RobRoys	#6379	Covid-vaccin har nu fler inrapporterade fall av oönskade effekter/bieffekter än alla andra vaccin tillsammans som rapporterats in under hela 2000-talet! Detta på blott några månader. Nånting är helt jävla sjukt när personer som ska vaccinera sig inte ens blir informerade om de risker som följer med vaccinet, utan skiten får fortgå som någon slags tyst kontrollerad massavrättning. En hel drös med människor kommer att dömas till långa fängelsestraff för detta i sinom tid! 13:30 in: URL
1060	2021-08-14	negrofoben	#4548	Det är nog ett vanligt skäl förutom att slippa svår sjukdom. För mig själv var det nog huvudorsaken.
1061	2021-06-13	Onyxer	#583	Jag är skeptisk och har bara haft influensa en gång i mitt liv, tror det va Honkong Men har bokat tid iaf för om de nu är ett chip i så tänker jag man kan koppla det till sitt betalkort och slippa släpa med sig det jämt. Och kanske ringa ifrån det sen .. massa möjligheter. Skulle byggt en hatt men hade slut på folie... men ja jag kör på sprutan
1062	2021-10-26	Helvete20	#34	Uppdatera gärna hur det går. En del av dina symptom är samma för mig och jag är inte bra efter snart månader. Det blir långsamt bättre men känner att det går med snigelfart. Och vissa dagar har man bakslag.
1063	2021-12-15	dalavita	#1280	Det är svårt det där. Man har absolut möjlighet att slå tillbaka med att man borde va rädd för biverkning som det skrivs mer och mer om men att säga något sånt till en vaccinera är något som bara gör dol mer rädda och därmed irrationella och förbannade vilket leder till att de blir mer hätska och ivriga på tvångsåtgärder... Man måste ge dom hopp på något sätt och lära dom identifiera de riktiga bovar i dett dvs våra och resten av världens politiker och deras lakejer i media som basunerar ut propaganda.
1064	2021-01-15	KaptenStena	#153	Det är alltid skumma typer som sitter i utländska program och vräker ur sig hur farlig vaccin är. Corona är farligare! Jag har aldrig sagt att jag frivilligt kommer ta något vaccin. Men jag hör mer och mer att sjukvårdsanställda får ta vaccin vare sig de vill detta eller inte. De blir väl övertygade om detta i en pressad situation. Dessutom får de se människor drunkna under vecka eller dagligen på intensiven och i vård avdelningar. Att ta vaccin är mer en solidariskt grej för att inte smitta.
1065	2021-09-11	Stopp.Belagg	#3487	Jag gjorde en liten faktakoll av factcheck.org. Är du medveten om att factcheck.org är finansierad av Facebook och Google, till större delen (över miljoner dollar år 2021)? URL Samma Facebook och Google som ingår i TNI. URL De är även finansierade av en storägare i vaccintillverkaren Johnson Johnson, nämligen Robert Wood Johnson Foundation, som har donerat cirka miljoner dollar år 2021. URL
1066	2021-12-15	Hajade	#239	Den egna självbilden har visat sig spela roll för om vi faller för grupptryck eller inte. Personer med en dålig självuppfattning faller i ökad utsträckning för sociala tryck eftersom att det styrker deras relation till gruppen. De måste visa sig vara värdiga medlemmar för att verkligen tillhöra gruppen.
1067	2021-07-09	severustheemperor	#4128	Om det rapporteras in av någon som har rätt att göra det. Så får man förutsätta att indeviden är kompetent. Tex. om någon dör i en flygplanskrasch så skriver läkaren ej, fall på bananskal. Snarare skulle jag gissa på ett stort mörkertal. Hälften av EU länder är dåliga på att rapportera till EU's databas. Läkare tar en risk om de rapporterar. Titta bara på hur media trackasserar/förtrycker de läkar som förmedlar fakta på tex. Youtube. Eller de som nämner biverkning på twatter el. fuckbook stängs av.
1068	2021-07-05	Hunter85	#873	Knappt så man behöver vaccinera sig tydligen; URL Översatt med Google translate från Tyska; A corona outbreak among students after a party in Tel Aviv worries the health authorities in Israel. As the TV broadcaster Channel reports, at least young people caught the virus at the celebration - all of them with the same classmate. What is particularly worrying about the case is the chain of infection that led to the outbreak. According to the Times of Israel, the young man who distributed the virus at the party was vaccinated. He, in turn, had been infected by a relative who had also been vaccinated and that relative had been infected by a person who was also vaccinated and who was recently in London. It is unclear which variant of the coronavirus it is. Most recently, the delta variant accelerated the infection process in Israel. Så återigen, vaccinen gör inte ett piss, tvärtom, de smittar full frisk personer. With 2,455 active cases of infection on Sunday, the number was as high as it was at the beginning of April, and the Ministry of Health is expecting to new infections every day in the coming week. As the Israeli broadcaster i24 News calculates, there has been a percent increase in new infections in the past two weeks. In the meantime, the number of corona patients in hospitals is also rising slightly again. According to the Times of Israel, only one person has died of or with Corona in Israel in the past three weeks. Var inte shedding en konspirationsteori? Hmm.
1069	2021-07-10	Intensivtklok	#6107	Japp, mycket möjligt, men då detta är en biverkningstråd så tycker jag du kan ta din inälvsmaskmedicin och hoppas på att det ska fungera mot ett virus så kan vi andra diskutera biverkning av vaccinen. Fast, för all del, att folk börjar äta ivermectin som godis är väl en biverkning av att man redan är immun mot vetenskap och livrädd för sådant man inte läst på en lagom obskyr webbsida utan faktaunderlag. Detta i sig måste vara en biverkning av något annat...
1070	2021-12-15	Jahre30	#650	Känner mig inte kränkt på något sätt... blir bara mer övertygad om att de som vaccat sig börjar bli desperata
1071	2021-09-04	MachDiamonds	#803	 Pfizer's drug is designed to block the activity of a key enzyme that is needed for the coronavirus to multiply.2 Det finns redan medel för att hindra replikation av viruset, men det går inte att patentera och Pfizers nya piller lär bli mycket dyrare. Det blir intressant att se om Pfizers piller blir mer effektivt, ribban ligger högt med CBD. Strikingly, only 1.2% of the patients prescribed CBD contracted SARS-CoV-2 whereas 12.2% of the matched, non-cannabinoid patients tested positive (p=0.009), suggesting a potential reduction in SARS-CoV-2 infection risk of approximately an order of magnitude. URL Dessutom så har du missat att Molnupiravir som är Pfizers nya medicin, fungerar på nästan samma sätt som ivermectin. The RdRP residing in nsp12 is the centerpiece of the coronavirus replication and transcription complex and has been suggested as a promising drug target as it is a crucial enzyme in the virus life cycle both for replication of the viral genome but also for transcription of subgenomic mRNAs (sgRNAs) [34]. Ivermectin binds to the viral rdrp and disrupts it. The highly efficient binding of ivermectin to nsp14 confirms its role in inhibiting viral replication and assembly. It is well known that nsp14 is essential in transcription and replication. Ivermectin gör i princip samma sak som molnupiravir, fast har fler mekanismer för att motverka viruset. Sannolikt så kan molnupiravir ha sämre effektivitet. Med andra ord är du så korkad att det i princip räcker med att byta namn på ivermectin för att du ska gapa och svälja något som du påstår är verkningslöst. Jag påstår inte att ivermectin är en mirakelkur, men din dumhet tar ju priset.
1072	2021-06-19	Booii	#1293	Ah, jag anser att jag är inne på en konspirationsteoritråd men många budskap... Nu är jag förvisso fysiker och inte biolog men om jag minns biologikurser rätt så är väl mRNA enbart kopierat DNA d.v.s. mRNA är enbart kopierad information från DNA:et viket i så fall borde innebära att det inte kan ske baklänges (d.v.s. mRNA kopieras till DNA:et)? Edit: Vad är det här snacket om att vaccin kan försämra fertiliteten? Som sagt är inte biologi mitt starka område så hoppas ni visa flashbackare kan göra mig lite klokare.
1073	2021-08-11	RostigHink	#6413	Om det nu är så högt som 50% samt att många tillfrisknade låtit sig vaccineras. Hur många det är som är naturligt immuna och fått vaccin vet vi inte.
1074	2021-08-12	Harald.Guldhatt	#2010	CDC skriver att det förekommer fall av hjärtmuskelinflammation och hjärtsäcksinflammation efter vaccinering. Dock säger de inget om varför det kan uppkomma. Jag ser inte att det kan förklaras utifrån de officiella mekanismer om hur vaccin är tänkt att fungera. Alltså finns det saker man inte förstår om vaccinet. Tycker det i sig borde vara lite oroväckande. Dock ger det stöd åt de alternativ teorier om att mRNA-recepten inte stannar vid muskeln vid injektionsstället utan sprids via blodet till andra delar av kroppen och andra celler som tillverkar spikeprotein och därmed attakeras av immunförsvaret. Hur som helst tycker jag det sänker trovärdigheten för vaccin och dess tillverkare om de inte klart och tydligt kan kommentera och förklara detta, och vilka andra effekter och mekanismer de kanske inte berättar om. URL
1075	2021-06-17	BagareBengt	#4012	Svara på frågor . Hur många är det normalt i åldersgrupp och tidsspann du refererar till? Jag skiter i diagnos covid 19 , det är helt irrelevant utan referensvärden. Sen, när du presenterat referensvärden, då ska vi börja bryta ner det i etniciteter, blodgrupper, hälsotillstånd etc. Det är vetenskap , och jag tror inte ens på vetenskap . Fakta tack.
1076	2021-04-06	Gnuarn	#33	Du pratar om risker men ignorerar fullt ut risken med ett experimentiellt dna-förändrande vaccin som aldrig haft lyckade resultat tidigare. Allt för en pandemi som knappt påverkar dödstalen i landet jämfört med föregående pandemifria år. Hörde att trollfabriker var bara ett påhitt men ditt narrativ får en att fundera.
1077	2021-03-13	Anti-68	#29	Varför skulle det vara relevant? Ange du stödjer dig på. Inte annan blogg eller Youtubeklipp eller liknande utan ursprunglig källa där nödvändig datainsamling redovisas.
1078	2021-09-03	BallaKlava	#3500	Jag menar teorin som alla med logisk tänkande förstår är den rätta. Sen är det ju fritt för dig att tro att någon kines åt en fladdermus meter från labbet som bedrev Gain of Function-forskning på Corona-virus.
1079	2021-09-08	FBoP	#114	Sannolikheten att smittas är oerhört mycket mindre för den som har antikroppar så klart, vilket du får när mrna - vaccin skapat de spikprotein som i sin tur bygger antikroppar. Den lilla mrna - sekvensen bryts ner, precis som de stela spikproteiner . Flockimmuniteten är det vi uppnår med tillräckligt hög vaccinationsgrad. Så sluta prata skit nu.
1080	2021-11-16	DRAVKCAB	#1476	Detta är förmodligen bara början. Är du överraskad att massor av helt oskolade människor med betydligt lägre kunskap i medicin än dig sett detta komma för flera månader sen? Är fascinerande vad logik och bra instinkt många ggr är mer värt än vad en nergrävd autist kan se och uppfatta trots bättre kunskap. Kommer du fortfarande vara aktiv i trådar när det är uppenbart hur mycket skada dessa vaccin kan göra? Om inte så vet vi att du bara var här av en orsak.
1081	2021-01-05	Draken55	#7092	Tror du denna pandemi är komisk? Skrattar du när just nu , när 10.000 tals dör innan vaccineringen kommit igång riktigt.
1082	2021-06-20	negrofoben	#4466	Vaccinationsviljan är riktigt hög nu i alla åldersgrupper. Det är värre i utanförskapsområden typ Södertälje. Där bland lågutbildade och analfabeter har det spritts rykten om att man blir dum i huvudet av vaccinet! Det låter som nån foliehatt från Flashback har varit där och agiterat.
1083	2021-08-11	Hajade	#239	1 av var ovaccinerad! Se länk nedan. URL Skynda skynda vaccinera!
1084	2021-07-22	constant	#27717	Snicksnack. Det är bara för den unga personen att rapportera på. Här finns länken: URL
1085	2021-03-25	burzi	#1649	Nej. Det är inte alls märkligt. Inte det minsta.
1086	2021-08-09	LuluBrooksie	#18077	Det är så preposterous , remsrkabelt, häpnadsväckande. Vad får de ut av skiten?!
1087	2021-09-02	Perlmutter	#1727	På vilket sätt. Det är ju ni som vill jaga folk som inte tar vaccin. Och ni som vill utrota europeiska folken genom massinvandring. Ni följer ju makteliten på det sett som SS följde hitler. Hur i helvete skulle en minoritets beslut att vägra låta sig tvångsvaccineras leda till ett nytt ww2. Hahaha, hur sinnessjuk har du låtit dig själv bli av medias propaganda. Det är ju du som tillhör flashbacks dårhus. Men vi ska ju inte glömma bort att ww2 uppstodpå grund av er kommunister som ville utrota vita folken och tyskar. Ni föreslog ju att sterilisera hela tysklands befolkning långt innan krigets utbrott. I boken Germany Must Perish
1088	2021-06-10	seberto	#649	Pandemi, knappast va. Har du inte tagit till dig att det står helt klart att pcr visar procent falskt positivt vid cykler på över 25. Herregud alltså delta inte i diskussioner när du inte vet något. Finns ingen pandemi, har aldrig funnits. Normalt influensaår. Ja vi är grundlurade och folk måste sätta igång och tänka nu och agera så det blir slut på charader och folk ställs inför rätta för brott mot mänskligheten.
1089	2021-03-11	Drozd	#6738	Fast även i icke-riskgrupper är ju biverkning av vaccin betydligt lindrigare än sjukdomen. Vaccin är ju de facto inget annat än patogener som gjorts ofarliga men ändå förbereder immunförsvaret för skarpt läge s.a.s. Bättre att träna med boxhandskar och huvudskydd mot en päronboll innan man går upp mot Evander Holyfield än att gå upp otränad.... Men för all del, har man otur kan man få en riktig smocka av vaccin också. Men statistiskt sett är det ju alltid bättre att ta vaccinet.
1090	2021-06-15	smultronkungen2	#1986	Vad starkt du backar upp dina påstående, bra jobbat. Nu blev många övertygade tror jag.. Fortsätt med din goda argumentationsteknik så kommer du nog gå långt.
1091	2021-06-21	Alcanarcarrer	#181	EU kan ju omöjligt acceptera att Rumänien och Bulgarien nöjer sig med att vaccinera sån liten del av befolkningen. Det innebär ju att smitthärdar och mutationer kommer ha fritt spelrum i dessa länder.
1092	2021-09-10	Hamsterboll	#6778	Sjukt. Jag har upplevt samma sak med en släkting i 50-årsåldern. Efter vaccin har hon dels förändrats personlighetsmässigt men även börjat glömma saker hon sagt och gjort. Jag sa faktiskt till min man att hon kanske börjar bli dement ELLER att vaccin gör folk konstiga.
1093	2021-01-01	dart100	#220	Nej jag kommer inte att vaccinera mig mot covid 19.
1094	2021-04-04	WimHof	#1100	Var någonstans har jag påstått att den svenska välfärden är bättre? Att Fraudci är en korrupt marionett bör vara allmänt vedertaget vid det här laget.
1095	2021-06-07	Eskulap	#2925	Håller med. På bara typ år känns det som det börjat gå extremt mycket downhill och vänsterfascimen tagit över fullständigt. Vanlig folk saknar helt motståndskraft mot denna cancer verkar det som och sväljer all propaganda, pk-skit och grupptryck totalt. Alla har gått på myten om Covid (ja, det finns risker, men de är extremt överdriva) och ska vaccinera sig utan att ifrågasätta det minsta vad det är för skit de låter sig injiceras med. Komplett jävla galet. Det är som om Västvärlden drabbats av samma totalitära skit som Kina.
1096	2021-09-02	granskottet80	#1860	Han har ju det bästa skyddet så helt meningslöst att ta ett nödgodkänt vaccin.
1097	2021-07-23	SittFint	#6815	En del verkar tro att fakta är beroende av åsikter. Vad som är sant är sant, helt oavsett hur många som tror på det.
1098	2021-07-09	qwerty-66	#7117	Vet två som dött av blodpropp efter andra dosen vaccin. Känner en antal som hamnat på sjukhus av covid men ingen som dött. Tror det är ett stort mörkertal.
1099	2021-06-23	vera.o	#568	Fick andra sprutan Pfizer nyss. Testade med en mini neodymmagnet som är otroligt stark och kan meddela att jag inte blev magnetisk! Det är bara idioter som kan inbilla sig att vaccin är magnetiskt!
1100	2021-12-04	northrunner	#1149	Nej, mRNA som kodar för spikprotein är det enda aktiva substansen i vaccinet. Kan möjligtvis finnas lite kvicksilver i vaccinet, motsvarande vad man kan få i sig av en portion fisk. Osäker hur det ser ut med just detta vaccin.
1101	2021-11-05	Mullret	#11739	Nej. Han ville inte bli sämre.
1102	2021-08-08	Kglanvflmabjx	#809	Du. Vaccinet som du tog för att skydda de äldre i din närhet. Det skyddar inte de äldre i din närhet. Du har tagit ett vaccin som inte fungerar. Det skyddar inte dig från något annat än den version av virus som vaccin är baserat på. Virus som ständigt muterar. Bra jobbat
1103	2021-12-08	madeinflen	#884	Beklagar din förlust. Sorgligt Så kanske det är. Svårt att veta dock.
1104	2021-07-22	VoktorDodka	#1047	Du verkar ju ha seriösa skruvar lösa.
1105	2021-05-30	Foxinsox	#232	Nej varför ljuga om en sån sak? Jag tycker det säger mycket om dig som person att du inte vågar stå för ditt val att avstå. Tänkt en gång på sjukvårdspersonalen som slitet för vår och din skull? Om du nu inte vill ta vaccin stå för det då som andra motståndare gör. Det är inte konstigt landet ser ut som det gör längre när solidaritet är något man ljuger om för man är för feg för att ta en spruta. Väx upp!
1106	2021-07-31	--cory	#2305	Ja och du är Einstein själv då med andra ord. Ingen vet något exakt med corona ännu, inte ens forskar . Kom inte till mig och gråt sedan då du dör i deltavariantens bieffekter som ovaccinerad.
1107	2021-08-04	umadbror	#15	Hade svårt att ta djupa andetag och hade allmänt nedsatt andningsförmåga i 3-4 dagar. Åkte aldrig till akuten, men var nära. Fick Pzifer.
1108	2021-12-19	letsgobrandon	#294	oj, den träffade visst en öm tå ߤ
1109	2021-05-31	LuluBrooksie	#18221	Vilket då? Kortet som man får när man har vaccinerat sig? Nej det är inte bluff. Man kan till och med ringa dem och meddela biverkning på ett avgiftsfritt telefonnummer.
1110	2021-06-19	Zaedrews	#39805	Inte personligen drabbats av det nej. Några stycken mer långväga släktingar har blivit det, en yngre än en själv blev tom inlagd på IVA. Fortsatt besvär av det. Alla man känner har ju redan eller kommer vaccinera sig. Du kanske har rätt skrämselpropaganda vilket gjort det här. Men även om man ju fattar att vaccin det finns en osäkerhetsfaktor med det så är det närmast ingen risk.
1111	2021-07-28	Pungpuckel	#2637	Nej sidan leder rätt bra, då blir vi några som lever vidare när dom andra får blodproppar och allt möjligt... (som a b s o l u t inte beror på något vaccin nejdå)
1112	2021-07-29	johanjohan71	#1402	Det var tråkigt att höra. Försök få henne att kontakta en läkare för er bådas skull.
